PESSOA,TEMA,lado,LINKEDIN
Gerson Rodrigues de farias Ribeiro ,Empreendedorismo Social,oferta,
Gerson Rodrigues de farias Ribeiro ,Educação,oferta,
Gerson Rodrigues de farias Ribeiro ,Inteligência Artificial ,oferta,
Geyce Fernanda Ferreira,Amazonas,oferta,
Geyce Fernanda Ferreira,Empreendedorismo Social,oferta,
Geyce Fernanda Ferreira,Desenvolvimento Social,oferta,
Geyce Fernanda Ferreira,ESG,oferta,
Giowana Cambrone Araujo,Rio de Janeiro,oferta,
Giowana Cambrone Araujo,Empreendedorismo Social,oferta,
Giowana Cambrone Araujo,Justiça Social,oferta,
Giowana Cambrone Araujo,LGBTQIAP+,oferta,
Girleno Menezes Barbosa ,Amazonas,oferta,
Girleno Menezes Barbosa ,Terceiro Setor,oferta,
Girleno Menezes Barbosa ,Educação,oferta,
Girleno Menezes Barbosa ,Projetos,oferta,
Guilherme Lichand,Academia/Pesquisa,oferta,
Guilherme Lichand,Educação,oferta,
Guilherme Lichand,Recomposição de Aprendizagem,oferta,
Gustavo De Biase Nunes da Rocha,Distrito Federal,oferta,
Gustavo De Biase Nunes da Rocha,Setor Público Legislativo,oferta,
Gustavo De Biase Nunes da Rocha,Meio Ambiente/Sustentabilidade,oferta,
Gustavo De Biase Nunes da Rocha,Campanhas Eleitorais,oferta,
helena velloso,California,oferta,
helena velloso,Academia/Pesquisa,oferta,
helena velloso,Educação,oferta,
Iago Bueno Bojczuk Camargo,São Paulo,oferta,
Iago Bueno Bojczuk Camargo,Organismo Multilateral/Internacional,oferta,
Iago Bueno Bojczuk Camargo,Infraestrutura,oferta,
Iago Bueno Bojczuk Camargo,"Mestrado, Doutorado, MBA, Estudar Fora",oferta,
Iara Souza Vicente ,São Paulo,oferta,
Iara Souza Vicente ,Empreendedorismo Social,oferta,
Iara Souza Vicente ,Meio Ambiente/Sustentabilidade,oferta,
Iara Souza Vicente ,WEB3,oferta,
ilana kabacznik luongo kapah ,Amapá,oferta,
ilana kabacznik luongo kapah ,Academia/Pesquisa,oferta,
ilana kabacznik luongo kapah ,Justiça Social,oferta,
Immaculada Lopez Prieto ,Rio de Janeiro,oferta,
Immaculada Lopez Prieto ,Organismo Multilateral/Internacional,oferta,
Immaculada Lopez Prieto ,Justiça Social,oferta,
Immaculada Lopez Prieto ,Primeira Infância,oferta,
Irapuã Santana do Nascimento da Silva,São Paulo,oferta,
Irapuã Santana do Nascimento da Silva,Especialista,oferta,
Irapuã Santana do Nascimento da Silva,Justiça Social,oferta,
Irapuã Santana do Nascimento da Silva,Antirracismo,oferta,
Isabela Rahal Rodas Messias,Distrito Federal,oferta,
Isabela Rahal Rodas Messias,Setor Público Legislativo,oferta,
Isabela Rahal Rodas Messias,Desenvolvimento Social,oferta,
Izabel Soares de Souza ,São Paulo,oferta,
Izabel Soares de Souza ,Educadores em Escolas,oferta,
Izabel Soares de Souza ,Educação,oferta,
Izabel Soares de Souza ,Gestão Escolar,oferta,
Izabela Aparecida de Souza,São Paulo,oferta,
Izabela Aparecida de Souza,Setor Privado,oferta,
Izabela Aparecida de Souza,Educação,oferta,
Izabela Aparecida de Souza,"Mestrado, Doutorado, MBA, Estudar Fora",oferta,
Janiele Damiane de Paula,Minas Gerais,oferta,
Janiele Damiane de Paula,Terceiro Setor,oferta,
Janiele Damiane de Paula,Gestão Pública,oferta,
Janiele Damiane de Paula,Estratégias de Comunicação e Marca Pessoal,oferta,
Jayse Antonio da Silva Ferreira ,Paraíba,oferta,
Jayse Antonio da Silva Ferreira ,Educadores em Escolas,oferta,
Jayse Antonio da Silva Ferreira ,Educação,oferta,
Jayse Antonio da Silva Ferreira ,Abordagens pedagógicas / Sala de Aula,oferta,
Jefferson Santos da Silva,São Paulo,oferta,
Jefferson Santos da Silva,Setor Público Legislativo,oferta,
Jefferson Santos da Silva,Desenvolvimento Social,oferta,
Jefferson Santos da Silva,Campanhas eleitorais,oferta,
Joao Braga Leal,Rio de Janeiro,oferta,
Joao Braga Leal,Empreendedorismo Social,oferta,
Joao Braga Leal,Educação,oferta,
Joao Braga Leal,EdTechs,oferta,
joão francisco araujo maria,Distrito Federal,oferta,
joão francisco araujo maria,Setor Público Executivo,oferta,
joão francisco araujo maria,Desenvolvimento Social,oferta,
Joao Paulo Cossi Fernandes,Distrito Federal,oferta,
Joao Paulo Cossi Fernandes,Organismo Multilateral/Internacional,oferta,
Joao Paulo Cossi Fernandes,Educação,oferta,
Joao Victor Freitas Ferreira,Maranhão,oferta,
Joao Victor Freitas Ferreira,Setor Privado,oferta,
Joao Victor Freitas Ferreira,Gestão Pública,oferta,
Joao Victor Freitas Ferreira,Marketing Digital / Redes Sociais / Mídias Digitais,oferta,
Josimo da Costa Constant,Acre,oferta,
Josimo da Costa Constant,Academia/Pesquisa,oferta,
Josimo da Costa Constant,Saúde,oferta,
Josimo da Costa Constant,Diálogos Indígenas,oferta,
Juliana Augusto Cardoso ,São Paulo,oferta,
Juliana Augusto Cardoso ,Setor Público Executivo,oferta,
Juliana Augusto Cardoso ,Desenvolvimento Econômico,oferta,
Juliana Augusto Cardoso ,Estratégias de Comunicação e Marca Pessoal,oferta,
Julio Alfredo Moreira Sousa Junior,Goiás,oferta,
Julio Alfredo Moreira Sousa Junior,Empreendedorismo Social,oferta,
Julio Alfredo Moreira Sousa Junior,Educação,oferta,
Julio Alfredo Moreira Sousa Junior,Marketing Digital / Redes Sociais / Mídias Digitais,oferta,
Jussara de Luna Batista ,Ceará,oferta,
Jussara de Luna Batista ,Setor Público Executivo,oferta,
Jussara de Luna Batista ,Educação,oferta,
Jussara de Luna Batista ,Educação Profissional,oferta,
Katia Cristina Stocco Smole,São Paulo,oferta,
Katia Cristina Stocco Smole,Terceiro Setor,oferta,
Katia Cristina Stocco Smole,Educação,oferta,
Katia Cristina Stocco Smole,Recomposição de Aprendizagem,oferta,
Keila Visconti de Sousa Andriolo,São Paulo,oferta,
Keila Visconti de Sousa Andriolo,Empreendedorismo Social,oferta,
Keila Visconti de Sousa Andriolo,Educação,oferta,
Keila Visconti de Sousa Andriolo,Tecnologia,oferta,
Ladjane Karla Torres Lima,Pernambuco,oferta,
Ladjane Karla Torres Lima,Terceiro Setor,oferta,
Ladjane Karla Torres Lima,Educação,oferta,
Ladjane Karla Torres Lima,Juventude,oferta,
Laura Krolikowski Sanchez Oller,São Paulo,oferta,
Laura Krolikowski Sanchez Oller,Organismo Multilateral/Internacional,oferta,
Laura Krolikowski Sanchez Oller,Desenvolvimento Econômico,oferta,
Laura Krolikowski Sanchez Oller,Lideranças Setor Público,oferta,
Lemaestro ,São Paulo,oferta,
Lemaestro ,Terceiro Setor,oferta,
Lemaestro ,Educação,oferta,
Lemaestro ,Inovação,oferta,
Lia Glaz,São Paulo,oferta,
Lia Glaz,Terceiro Setor,oferta,
Lia Glaz,Educação,oferta,
Lívia Maria Macedo,Academia/Pesquisa,oferta,
Lívia Maria Macedo,Educação,oferta,
Lívia Maria Macedo,"Mestrado, Doutorado, MBA, Estudar Fora",oferta,
Lucas Vinicius de oliveira lima ,Rio de Janeiro,oferta,
Lucas Vinicius de oliveira lima ,Empreendedorismo Social,oferta,
Lucas Vinicius de oliveira lima ,Educação,oferta,
Lucas Vinicius de oliveira lima ,Startups,oferta,
Luciana Paes Elmais,São Paulo,oferta,
Luciana Paes Elmais,Empreendedorismo Social,oferta,
Luciana Paes Elmais,Gestão Pública,oferta,
Luciana Paes Elmais,Oportunidades Profissionais,oferta,
Lucy Goes da Purificação ,Bahia,oferta,
